根据马克思主义的定义，其创立者与发展者是谁？,马克思主义是由马克思、恩格斯创立并为后继者所不断发展的科学理论体系。
哲学基本问题的第一个方面是什么？它划分了哪两大哲学派别？,存在和思维何者为本原（第一性）的问题；它划分了唯物主义和唯心主义。
哲学基本问题的第二个方面是什么？它划分了哪两种理论分野？,存在和思维是否具有同一性的问题；它划分了可知论和不可可知论。
列宁对物质作出的全面科学规定是什么？,物质是标志客观实在的哲学范畴，这种客观实在是人通过感觉感知的，它不依赖于我们的感觉而存在，为我们的感觉所复写、摄影、反映。
马克思主义物质范畴最本质的规定是什么？,客观实在性。
马克思主义物质范畴的提出，坚持了_____一元论，同唯心主义一元论和二元论划清了界限。,唯物主义
马克思主义物质范畴的提出，坚持了能动的反映论和_____，批判了不可知论。,可知论
物质的根本属性或存在方式是什么？,运动。
什么是运动？,运动是标志一切事物和现象的变化及其过程的哲学范畴。
物质和运动的关系是什么？,物质和运动是不可分割的，运动是物质的运动，物质是运动着的物质。
物质运动过程中的相对静止是指哪两种状态？,空间的相对位置暂时不变和事物的根本性质暂时不变。
运动与静止的辩证关系是什么？,运动的绝对性与静止的相对性相互依赖、相互渗透、相互包含，“动中有静、静中有动”。
运动着的物质的基本存在形式是什么？,时间和空间。
时间的特点是什么？,一维性，即持续性、顺序性。
空间的特点是什么？,三维性，即广延性、伸张性。
从猿到人转变中起决定性作用的是什么？,劳动。
意识的本质是什么？,意识是人脑的机能和属性，是客观世界的主观映象。
物质对意识的决定作用体现在哪两个方面？,体现在意识的起源和本质上。
从起源来看，意识是_____长期发展的产物，也是_____发展的产物。,自然界，社会历史
在意识的产生和发展中起着决定性作用的是什么？,社会实践，特别是劳动。
语言在意识发展中起到了什么作用？,促进了意识的发展，是一种实践的、现实的意识。
意识在内容上是_____的，在形式上是_____的。,客观，主观
马克思如何论述观念与物质的关系？,“观念的东西不外是移入人的头脑并在人的头脑中改造过的物质的东西而已。”
意识对物质的反作用称为什么？,意识的能动作用。
意识能动作用的第一个表现是什么？,意识具有目的性和计划性。
意识能动作用的第二个表现是什么？,意识具有创造性。
意识能动作用的第三个表现是什么？,意识具有指导实践改造客观世界的作用。
意识能动作用的第四个表现是什么？,意识具有调控人的行为和生理活动的作用。
正确发挥主观能动性的前提是什么？,尊重客观规律。
什么是规律？,规律是事物变化发展过程中本身所固有的内在的、本质的、必然的联系。
只有充分发挥_____，才能正确认识和利用客观规律。,主观能动性
客观规律性与主观能动性统一的基础是什么？,实践。
正确发挥人的主观能动性的首要前提是什么？,从实际出发。
正确发挥人的主观能动性的根本途径是什么？,实践。
除了从实际出发和实践外，正确发挥人的主观能动性还需要依赖什么？,依赖于一定的物质条件和物质手段。
法国里昂工人先后举行了两次起义的年份是？,1831年和1834年。
英国声势浩大的全国性工人运动——宪章运动开始于哪一年？,1836年。
德国西里西亚纺织工人举行起义的年份是？,1844年。
第一国际（国际工人协会）成立于哪一年？,1864年。
马克思为总结巴黎公社历史经验写下的著名著作是什么？,《法兰西内战》。
